,"Số 23. Đường 800A
Nghĩa Đô
Cầu Giấy",205,Cầu Giấy,"Hình ảnh, video",Studio,32m2,"6,300,000","Điện 4k/số
Nước 32k/1 khối
mạng 100k/phòng
Dịch vụ khác: vệ sinh/điện chung, thang máy, rác 120.000/người
Không nuôi chó, tối đa ở 4, không xe điện, không người nước ngoài",Có khách,,Full đồ như ảnh,Bảo Chấn,0934686094,,,,,,,,,,,,,,
4,"Số 48 
ngõ 79 mễ trì thượng",202,Nam Từ Liêm,https://drive.google.com/drive/u/0/folders/1rAonwjfwd7vM-qyxly1S6Wq4Hhl-jf_V,1 NGỦ+ GÁC XÉP,25+6 GÁC,"4,500,000 đ",,Có khách,,Full đồ như ảnh,Bảo Chấn,0934686094,,,,,,,,,,,,,,
4,"Số 48 
ngõ 79 mễ trì thượng",601,Nam Từ Liêm,"Hình ảnh,video",1 NGỦ+ GÁC XÉP,25+6 GÁC,"4,500,000 đ","""Điện 4k/số
Nước 32k/1 khối
mạng 80k/phòng
Dịch vụ khác: vệ sinh/điện chung, thang máy, rác 200k/ phòng
",Có khách,,Full đồ như ảnh,Bảo Chấn,0934686094,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Số 48 Ngách 70/2 
ngo 29  Khương Hạ",301,Thanh Xuân,"Hình ảnh,video",1 NGỦ+GÁC XÉP,25+ 6 Gác,"4,600,000 đ","20.988253,105.814655",Có khách,,,,,,,,,,,,,,,,,,
3,"Số 48 Ngách 70/2 
ngo 29  Khương Hạ",502,Thanh Xuân,"Hình ảnh,video",1 NGỦ+GÁC XÉP,25+ 6 Gác,"4,600,000 đ","20.988253,105.814655",Có khách,,Full đồ như ảnh,Bảo Chấn,0934686094,,,,,,,,,,,,,,
,"Số 48 Ngách 70/2 
ngo 29  Khương Hạ",602,Thanh Xuân,"Hình ảnh,video",1 NGỦ+GÁC XÉP,25+ 6 Gác,"4,600,000 đ","20.988253,105.814655",Có khách,,,Bảo Chấn,0934686094,,,,,,,,,,,,,,
,"Số 48 Ngách 70/2 
ngo 29  Khương Hạ",303,Thanh Xuân,"Hình ảnh,video",1 NGỦ+GÁC XÉP,25+ 6 Gác,"4,600,000 đ","""Dịch vụ 280k/1 phòng
Mạng:80k/phòng
Dịch vụ chung: 200k/1 phòng
(Thang máy, Thu rác, gửi xe, điện chung, free 2 xe).
Xe thứ 3: 80k"". Điện 4k nước 32k",Có khách,,Full đồ như ảnh,Bảo Chấn,0934686094,,,,,,,,,,,,,,
3,"Số 7 
Ngách 70
Ngõ 29 Khương Hạ",506,Thanh Xuân,https://drive.google.com/drive/u/0/folders/1ie2s-Kbjrcx3B3b1lWESEWOWGE1sfxZU,Phòng Gác xép,"Sàn 26
Gác 8","5,200,000 đ",,Có khách,,Full đồ như ảnh,,,,,,,,,,,,,,,,
2,"""Số 2
Ngách 70
Ngõ 29 
Khương Hạ""",402,Thanh Xuân,"Hình ảnh,video",1 NGỦ+GÁC XÉP,26+ 6 Gác,"4,600,000 đ",,Có khách,,Full đồ như ảnh,,,,,,,,,,,,,,,,
*,"Số 48
Ngách 70
Ngõ 29
Khương Hạ",201,Thanh Xuân,"Hình ảnh,video","2 Ngủ
1 Khách",37m,"7,000,000 đ",,Có khách￼,,Full đồ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Số 71 
Ngõ 52 Quan Nhân",203,Thanh Xuân,"Link ảnh,video",Phòng Gác xép,"Sàn 24
Gác 8","6,500,000 đ","Tặng 1000k chuyển vào
Free tiền phòng đến hết m5 tết",Có khách,,Full đồ như ảnh,Tùng,0357992605,,,,,,,,,,,,,,
,"Số 71 
Ngõ 52 Quan Nhân",201,Thanh Xuân,"Link ảnh,video",1 NGỦ+GÁC XÉP,"Sàn 24
Gác 8","5,000,000 đ",,Có khách,,Full đồ như ảnh,Bảo Chấn,0934686094,,,,,,,,,,,,,,
,"Số 71 
Ngõ 52 Quan Nhân",702,Thanh Xuân,https://drive.google.com/drive/u/0/folders/1M5aje-FGOT-zYmRXAQA9eW_vxNuWjWMV,1 Ngủ 1 Khách,Sàn 38,"6,500,000 đ",,Có khách,,,,,,,,,,,,,,,,,,
,"Số 71 
Ngõ 52 Quan Nhân",702,Thanh Xuân,https://drive.google.com/drive/u/0/folders/1M5aje-FGOT-zYmRXAQA9eW_vxNuWjWMV,1 Ngủ 1 Khách,"Sàn 26
Gác 8","6,700,000 đ","""Điện 4k/số
Nước 32k/1 khối
mạng 80k/phòng
Dịch vụ khác: vệ sinh/điện chung, thang máy, rác 200k/phòng",Có khách,,Full đồ như ảnh,Bảo Chấn,0934686094,,,,,,,,,,,,,,
,"Số 71 
Ngõ 52 Quan Nhân",501,Thanh Xuân,"Link ảnh,video",Phòng Gác xép,"Sàn 26
Gác 8","5,600,000 đ","Điện 4k/số
Nước 32k/1 khối
mạng 80k/phòng
Dịch vụ khác: vệ sinh/điện chung, thang máy, rác 200.000/phòng",12/08,,Full đồ như ảnh,Bảo Chấn,0934686094,,,,,,,,,,,,,,
1,"Số 71 
Ngõ 52 Quan Nhân",303,Thanh Xuân,"Link ảnh,video",Phòng Gác xép,"Sàn 26
Gác 8","5,500,000 đ",,Có khách,,Full đồ như ảnh,Bảo Chấn,0934686094,,,,,,,,,,,,,,
2,"Số 71 
Ngõ 52 Quan Nhân",701,Thanh Xuân,"Link ảnh,video",1 Ngủ 1 Khách,32,"6,700,000 đ",,Có khách,,Full đồ như ảnh,Bảo Chấn,0934686094,,,,,,,,,,,,,,
,"Số 48 Ngách 70/2 
ngo 29  Khương Hạ",202,Thanh Xuân,"Link ảnh,video",Studio,25,"4,500,000 đ",Tặng 1000k chuyển vào,Có khách,,Full đồ như ảnh,Bảo Chấn,,,,,,,,,,,,,,,
16,"Số 48 Ngách 70/2 
ngo 29  Khương Hạ",202,Thanh Xuân,"Link ảnh,video",Studio,25,"4,000,000 đ",Tặng 1000k chuyển vào,có khách,,Full đồ như ảnh,,,,,,,,,,,,,,,,
17,"Số 48 Ngách 70/2 
ngo 29  Khương Hạ",203,Thanh Xuân,"Link ảnh,video",Studio,25,"4,000,000 đ",Tặng 1000k chuyển vào,có khách,,Full đồ như ảnh,Bảo Chấn,,,,,,,,,,,,,,,
4,"Số 48 Ngách 70/2 
ngo 29  Khương Hạ",203,Thanh Xuân,"Hình ảnh, video",Studio,25,"3,800,000 đ",,Có khách,,Full đồ như ảnh,,,,,,,,,,,,,,,,
5,"Số 48 Ngách 70/2 
ngo 29  Khương Hạ",402,Thanh Xuân,"Hình ảnh, video",Studio,25,"4,600,000 đ",Tặng 1000k chuyển vào,07/02,,Full đồ như ảnh,Bảo Chấn,0934686094,,,,,,,,,,,,,,
10,"Số 48 Ngách 70/2 
ngo 29  Khương Hạ",304,Thanh Xuân,"Hình ảnh, video",Studio,25,"4,300,000 đ",,Có khách,,Full đồ như ảnh,Bảo Chấn,0934686094,,,,,,,,,,,,,,
12,"Số 48 Ngách 70/2 
ngo 29  Khương Hạ",703,Thanh Xuân,"Hình ảnh, video",Studio,25,"4,600,000 đ",,Có khách,,Full đồ như ảnh,Bảo Chấn,0934686094,,,,,,,,,,,,,,
22,"Số 48 Ngách 70/2 
ngo 29  Khương Hạ",403,Thanh Xuân,"Link ảnh,video",Studio,25,"4,400,000 đ",Tặng 1000k chuyển vào,Có khách,,Full đồ như ảnh,Bảo Chấn,,,,,,,,,,,,,,,
5,"Số 48 Ngách 70/2 
ngo 29  Khương Hạ",201,Thanh Xuân,"Link ảnh,video",2 ngủ 1 khách,45,"7,500,000 đ",,Có khách,,Full đồ như ảnh,Bảo Chấn,0934686094,,,,,,,,,,,,,,
6,"Số 48 Hẻm 2
Ngách 70 Ngõ 29 
Khương Hạ",403,Thanh Xuân,"Hình ảnh,video",1 NGỦ+GÁC XÉP,27+ 6 Gác,"4,500,000 đ",,Có khách,,Full đồ như ảnh,,,,,,,,,,,,,,,,
,"Số 48 Ngách 70/2 
ngo 29  Khương Hạ",401,Thanh Xuân,"Hình ảnh,video",1 NGỦ+GÁC XÉP,27+ 6 Gác,"4,500,000 đ",Miễn phí tiền nhà đến 10/04,Có khách,,Full đồ như ảnh,,,,,,,,,,,,,,,,
,"Số 48 Ngách 70/2 
ngo 29  Khương Hạ",604,Thanh Xuân,"Hình ảnh,video",1 NGỦ+GÁC XÉP,27+ 6 Gác,"4,700,000 đ",Tặng 500k chuyển vào,Có khách,,Full đồ như ảnh,Bảo Chấn,,,,,,,,,,,,,,,
,"Số 48 Ngách 70/2 
ngo 29  Khương Hạ",201,Thanh Xuân,"Hình ảnh,video",2 NGỦ,40,"8,000,000 đ",Tặng 1000k chuyển vào,có khách,,Full đồ như ảnh,Bảo Chấn,,,,,,,,,,,,,,,
17,"Số 7 
Ngách 70
Ngõ 29 Khương Hạ",203,Thanh Xuân,"Link ảnh,video",Phòng Gác xép,"Sàn 26
Gác 8","4,500,000 đ",Tặng 1000k chuyển vào,Có khách,,Full đồ như ảnh,Bảo Chấn,,,,,,,,,,,,,,,
,"Số 7 
Ngách 70
Ngõ 29 Khương Hạ",204,Thanh Xuân,"Link ảnh,video",Phòng Gác xép,"Sàn 26
Gác 8","4,500,000 đ",Tặng 1000k chuyển vào,có khách,,Full đồ như ảnh,Bảo Chấn,0934686094,,,,,,,,,,,,,,
12,"Số 7 
Ngách 70
Ngõ 29 Khương Hạ",205,Thanh Xuân,"Link ảnh,video",Phòng Gác xép,"Sàn 26
Gác 8","4,600,000 đ",,Có khách,,Full đồ như ảnh,Bảo Chấn,0934686094,,,,,,,,,,,,,,
13,"Số 7 
Ngách 70
Ngõ 29 Khương Hạ",305,Thanh Xuân,"Link ảnh,video",Phòng Gác xép,"Sàn 26
Gác 8","4,600,000 đ",,Có khách,,Full đồ như ảnh,Bảo Chấn,0934686094,,,,,,,,,,,,,,
,"Số 7 
Ngách 70
Ngõ 29 Khương Hạ",304,Thanh Xuân,"Link ảnh,video",Phòng Gác xép,"Sàn 26
Gác 8","4,600,000 đ",Tặng 1000k chuyển vào,Có khách,,Full đồ như ảnh,Bảo Chấn,0934686094,,,,,,,,,,,,,,
10,"Số 7 
Ngách 70
Ngõ 29 Khương Hạ",406,,,,,,,Có khách,,,Bảo Chấn,0934686094,,,,,,,,,,,,,,
,"Số 7 
Ngách 70
Ngõ 29 Khương Hạ",505,Thanh Xuân,"Link ảnh,video",Phòng Gác xép,"Sàn 26
Gác 8","4,800,000 đ",Tặng 1000k chuyển vào,Có khách,,Full đồ như ảnh,Bảo Chấn,0934686094,,,,,,,,,,,,,,
17,"Số 7 
Ngách 70
Ngõ 29 Khương Hạ",605,Thanh Xuân,"Link ảnh,video",Phòng Gác xép,"Sàn 26
Gác 8","5,000,000 đ",Tặng 1000k chuyển vào,Có khách,,Full đồ như ảnh,Bảo Chấn,,,,,,,,,,,,,,,
29,"Số 7 
Ngách 70
Ngõ 29 Khương Hạ",603,Thanh Xuân,"Link ảnh,video",Phòng Gác xép,"Sàn 26
Gác 8","4,600,000 đ",Tặng 1000k chuyển vào,Có khách,,Full đồ như ảnh,Bảo Chấn,,,,,,,,,,,,,,,
14,"Số 7 
Ngách 70
Ngõ 29 Khương Hạ",601,Thanh Xuân,"Link ảnh,video",Phòng Gác xép,"Sàn 26
Gác 8","6,000,000 đ",,Có khách,,Full đồ như ảnh,Bảo Chấn,0934686094,,,,,,,,,,,,,,
15,"Số 7 
Ngách 70
Ngõ 29 Khương Hạ",202,Thanh Xuân,"Link ảnh,video",Phòng Gác xép,"Sàn 26
Gác 8","5,500,000 đ",,Có khách,,Full đồ như ảnh,Bảo Chấn,0934686094,,,,,,,,,,,,,,
26,"Số 7 
Ngách 70
Ngõ 29 Khương Hạ",703,Thanh Xuân,"Link ảnh,video",Phòng Gác xép,"Sàn 26
Gác 8","4,800,000 đ",Tặng 1000k chuyển vào,có khách,,Full đồ như ảnh,Bảo Chấn,,,,,,,,,,,,,,,
4,"Số 7 
Ngách 70
Ngõ 29 Khương Hạ",602,Thanh Xuân,"Link ảnh,video",Phòng Gác xép,"Sàn 32
Gác 8","6,300,000 đ",,Có khách,,Full đồ như ảnh,,,,,,,,,,,,,,,,
4,"Số 8  Ngách 56
Ngõ 63 
Trần Quốc Vượng (2)",301,Cầu Giấy,"Hình ảnh, video","1 Ngủ
1 Gác Xép","Sàn 26
Gác 8,4","5,200,000 đ","21.033563,105.785572",Có khách,,Full đồ như ảnh,T6,,,,,,,,,,,,,,,
2,"Số 8  Ngách 56
Ngõ 63 
Trần Quốc Vượng",603,Cầu Giấy,"Hình ảnh, video","1 Ngủ
1 Gác Xép","Sàn 26
Gác 8,4","5,000,000 đ","21.033563,105.785572",Có khách,,Full đồ như ảnh,,,,,,,,,,,,,,,,
4,"Số 7 
Ngách 70
Ngõ 29 Khương Hạ",204,Thanh Xuân,https://drive.google.com/drive/u/0/folders/1ie2s-Kbjrcx3B3b1lWESEWOWGE1sfxZU,Phòng Gác xép,"Sàn 26
Gác 8","5,000,000 đ",Tặng 2tr kí hđ trước 15/05,Có khách,,"Nệm, tủ quần áo, điều hòa, nóng lạnh, tủ lạnh, tủ bếp, bếp từ, hút mùi, sofa, máy giặt , rèm,giàn phơi",,,,,,,,,,,,,,,,
,"Số 7 
Ngách 70
Ngõ 29 Khương Hạ",204,Thanh Xuân,https://drive.google.com/drive/u/0/folders/1ie2s-Kbjrcx3B3b1lWESEWOWGE1sfxZU,Phòng Gác xép,"Sàn 26
Gác 8","5,000,000 đ",Tặng 1000k chuyển vào,có khách,,Full đồ như ảnh,Bảo Chấn,,,,,,,,,,,,,,,
,"Số 7 
Ngách 70
Ngõ 29 Khương Hạ",306,Thanh Xuân,https://drive.google.com/drive/u/0/folders/1ie2s-Kbjrcx3B3b1lWESEWOWGE1sfxZU,Phòng Gác xép,"Sàn 26
Gác 8","5,000,000 đ",Tặng 1000k chuyển vào,Có khách,,Full đồ như ảnh,Bảo Chấn,,,,,,,,,,,,,,,
,"Số 7 
Ngách 70
Ngõ 29 Khương Hạ",503,Thanh Xuân,https://drive.google.com/drive/u/0/folders/1ie2s-Kbjrcx3B3b1lWESEWOWGE1sfxZU,Phòng Gác xép,"Sàn 26
Gác 8","5,000,000 đ",Tặng 1000k chuyển vào,Có khách,,Full đồ như ảnh,,,,,,,,,,,,,,,,
,"Số 7 
Ngách 70
Ngõ 29 Khương Hạ",402,Thanh Xuân,https://drive.google.com/drive/u/0/folders/1ie2s-Kbjrcx3B3b1lWESEWOWGE1sfxZU,Phòng Gác xép,"Sàn 28
Gác 8","6,000,000 đ",Tặng 500k chuyển vào,Có khách,,Full đồ như ảnh,Bảo Chấn,,,,,,,,,,,,,,,
7,"Số 52
Ngõ 173
 Hoàng Hoa Thám",308,Ba Đình,"Hình ảnh,video",1 NGỦ+GÁC XÉP,25,"4,800,000 đ",,Có khách,,Full đồ như ảnh,,,,,,,,,,,,,,,,
12,"Số 52
Ngõ 173
 Hoàng Hoa Thám",306,Ba Đình,"Hình ảnh,video",1 Ngủ + 1 Gác,26,"4,400,000 đ",Tặng 500k chuyển vào,Có khách,,Full đồ như ảnh,Thịnh,0981074306,,,,,,,,,,,,,,
8,"Số 52
Ngõ 173
 Hoàng Hoa Thám",405,Ba Đình,"Hình ảnh,video",1 Ngủ + 1 Gác,26,"4,500,000 đ",,Có khách,,Full đồ như ảnh,,0934686094,,,,,,,,,,,,,,
9,"Số 52
Ngõ 173
 Hoàng Hoa Thám",205,Ba Đình,"Hình ảnh,video",1 Ngủ + 1 Gác,26,"4,800,000 đ",,Có khách,,Full đồ như ảnh,Thịnh,0981074306,,,,,,,,,,,,,,
1,"Số 52
Ngõ 173
 Hoàng Hoa Thám",301,Ba Đình,https://drive.google.com/drive/u/0/folders/154QQvYAQTLUgZfR-RGAQ0ZsF2ObJt1-j,1 Ngủ + 1 Gác,20+6 gác,"4,500,000 đ","""Điện 4k/số
Nước 32k/1 khối
mạng 80k/phòng
Dịch vụ khác: vệ sinh/điện chung, thang máy, rác 200k/ phòng
",Có khách,,Full đồ như ảnh,Bảo Chấn,0934686094,,,,,,,,,,,,,,
6,"Số 52
Ngõ 173
 Hoàng Hoa Thám",401,Ba Đình,https://drive.google.com/drive/u/0/folders/154QQvYAQTLUgZfR-RGAQ0ZsF2ObJt1-j,1 Ngủ + 1 Gác,20+6 gác,"4,300,000 đ",,Có khách,,Full đồ như ảnh,Bảo Chấn,0934686094,,,,,,,,,,,,,,
,"Số 52
Ngõ 173
 Hoàng Hoa Thám",206,Ba Đình,chưa có ảnh,1 Ngủ + 1 khách,40,"8,000,000 đ","Điện 4k/số
Nước 32k/1 khối
mạng 80k/phòng
Dịch vụ khác: vệ sinh/điện chung, thang máy, rác 200.000/phòng",trống,,Full đồ như ảnh,Bảo Chấn,0934686094,,,,,,,,,,,,,,
,"Số 52
Ngõ 173
 Hoàng Hoa Thám",302,Ba Đình,https://drive.google.com/drive/u/0/folders/1bwU-Sg8iDe1XYhZ0g4WzaZKjzZ5BdfYF,1 Ngủ + 1 Gác,28,"4,500,000 đ","Điện 4k/số
Nước 32k/1 khối
mạng 80k/phòng
Dịch vụ khác: vệ sinh/điện chung, thang máy, rác 200.000/phòng",trống,,Full đồ như ảnh,Bảo Chấn,0934686094,,,,,,,,,,,,,,
,"Số 52
Ngõ 173
 Hoàng Hoa Thám",407,Ba Đình,https://drive.google.com/drive/u/0/folders/1bwU-Sg8iDe1XYhZ0g4WzaZKjzZ5BdfYF,1 Ngủ + 1 Gác,28,"4,700,000 đ","Điện 4k/số
Nước 32k/1 khối
mạng 80k/phòng
Dịch vụ khác: vệ sinh/điện chung, thang máy, rác 200.000/phòng",31/07,,Full đồ như ảnh,Bảo Chấn,0934686094,,,,,,,,,,,,,,
12,"Số 52
Ngõ 173
 Hoàng Hoa Thám",402,Ba Đình,"Hình ảnh,video",1 Ngủ + 1 Gác,26,"4,600,000 đ",,Có khách,,Full đồ như ảnh,Thịnh,0981074306,,,,,,,,,,,,,,
12,"Số 52
Ngõ 173
 Hoàng Hoa Thám",304,Ba Đình,,1 Ngủ + 1 Gác,26,"4,400,000 đ",Tặng CTV 300k khi chốt,Có khách,,Full đồ như ảnh,Thịnh,0981074306,,,,,,,,,,,,,,
13,"Số 52
Ngõ 173
 Hoàng Hoa Thám",308,Ba Đình,"Hình ảnh,video",1 Ngủ + 1 Gác,26,"4,700,000 đ",,Có khách,,Full đồ như ảnh,Bảo Chấn,0934686094,,,,,,,,,,,,,,
14,"Số 52
Ngõ 173
 Hoàng Hoa Thám",203,Ba Đình,"Hình ảnh,video",1 Ngủ + 1 Gác,26,"4,400,000 đ","Điện 4k/số
Nước 32k/1 khối
mạng 80k/phòng
Dịch vụ khác: vệ sinh/điện chung, thang máy, rác 200.000/phòng",Có khách,,Full đồ như ảnh,Bảo Chấn,0934686094,,,,,,,,,,,,,,
,"Số 52
Ngõ 173
 Hoàng Hoa Thám",307,Ba Đình,https://drive.google.com/drive/u/0/folders/1bwU-Sg8iDe1XYhZ0g4WzaZKjzZ5BdfYF,1 Ngủ + 1 Gác,26,"4,600,000 đ","Điện 4k/số
Nước 32k/1 khối
mạng 80k/phòng
Dịch vụ khác: vệ sinh/điện chung, thang máy, rác 200.000/phòng",Có khách,,Full đồ như ảnh,Bảo Chấn,0934686094,,,,,,,,,,,,,,
,"Số 52
Ngõ 173
 Hoàng Hoa Thám",801,Ba Đình,https://drive.google.com/drive/folders/1Q_Q7zZZS67NXuC8xsxfzmTjRAVZRQF3g,"2 Ngủ 1 khách
",70,"13,000,000 đ","Điện 4k/số
Nước 32k/1 khối
mạng 80k/phòng
Dịch vụ khác: vệ sinh/điện chung, thang máy, rác 200.000/phòng",Có khách,,Full đồ như ảnh,Bảo Chấn,0934686094,,,,,,,,,,,,,,
,"Số 52
Ngõ 173
 Hoàng Hoa Thám",405,Ba Đình,"Hình ảnh,video",1 Ngủ + 1 Gác,26,"4,600,000 đ",,Có khách,,Full đồ như ảnh,Bảo Chấn,0934686094,,,,,,,,,,,,,,
17,"Số 52
Ngõ 173
 Hoàng Hoa Thám",706,Ba Đình,"Hình ảnh,video",1 Ngủ + 1 Gác,26,"4,800,000 đ",Tặng 500k chuyển vào,Có khách,,Full đồ như ảnh,Thịnh,0981074306,,,,,,,,,,,,,,
37,"Số 52
Ngõ 173
 Hoàng Hoa Thám",406,Ba Đình,"Hình ảnh,video",1 Ngủ + 1 Gác,26,"4,400,000 đ",Tặng 1000k chuyển vào,Có khách,,Full đồ như ảnh,Thịnh,,,,,,,,,,,,,,,
38,"Số 52
Ngõ 173
 Hoàng Hoa Thám",606,Ba Đình,"Hình ảnh,video",1 Ngủ + 1 Gác,26,"4,600,000 đ",Tặng 1000k chuyển vào,Có khách,,Full đồ như ảnh,Thịnh,,,,,,,,,,,,,,,
35,"Số 52
Ngõ 173
 Hoàng Hoa Thám",706,Ba Đình,"Hình ảnh,video",1 Ngủ + 1 Gác,26,"4,600,000 đ",Tặng 1000k chuyển vào,Có khách,,Full đồ như ảnh,,,,,,,,,,,,,,,,
36,"Số 52
Ngõ 173
 Hoàng Hoa Thám",301,Ba Đình,"Hình ảnh,video",1 Ngủ + 1 Gác,23,"4,000,000 đ",Tặng 1000k chuyển vào,Có khách,,Full đồ như ảnh,Thịnh,,,,,,,,,,,,,,,
37,"Số 52
Ngõ 173
 Hoàng Hoa Thám",501,Ba Đình,"Hình ảnh,video",1 Ngủ + 1 Gác,23,"4,000,000 đ",Tặng 1000k chuyển vào,Có khách,,Full đồ như ảnh,Thịnh,,,,,,,,,,,,,,,
6,"Số 52
Ngõ 173
 Hoàng Hoa Thám",606,Ba Đình,"Hình ảnh,video",1 NGỦ+GÁC XÉP,25,"4,800,000 đ",,Có khách,,Full đồ như ảnh,,,,,,,,,,,,,,,,
,"Số 52
Ngõ 173
 Hoàng Hoa Thám",407,Ba Đình,"Hình ảnh,video",1 Ngủ + 1 Gác,30,"5,000,000 đ",Tặng 500k chuyển vào,Có khách,,Full đồ như ảnh,,,,,,,,,,,,,,,,
